,precision,recall,f1-score,support
00000,0.0,0.0,0.0,0
00001,0.9889196675900277,0.9916666666666667,0.9902912621359223,360
00002,0.995260663507109,1.0,0.997624703087886,420
00003,0.995850622406639,1.0,0.997920997920998,240
00004,0.991701244813278,0.9958333333333333,0.9937629937629938,480
00005,0.9899665551839465,0.9866666666666667,0.988313856427379,300
00006,1.0,1.0,1.0,120
00007,0.988929889298893,0.9925925925925926,0.9907578558225508,270
00008,0.9804878048780488,0.9571428571428572,0.9686746987951808,210
00009,0.9900662251655629,0.9966666666666667,0.9933554817275747,300
00010,1.0,0.9955555555555555,0.9977728285077951,450
00011,1.0,0.9851851851851852,0.9925373134328358,270
00012,1.0,1.0,1.0,270
00013,1.0,0.9947368421052631,0.9973614775725593,570
00014,1.0,1.0,1.0,150
00015,1.0,1.0,1.0,120
00016,0.9831932773109243,0.975,0.9790794979079498,120
00017,1.0,1.0,1.0,180
00018,0.9939759036144579,1.0,0.9969788519637462,330
00019,0.0,0.0,0.0,0
00020,0.9405940594059405,0.7916666666666666,0.8597285067873304,120
00021,0.8333333333333334,1.0,0.9090909090909091,30
00022,1.0,1.0,1.0,60
00023,1.0,0.9777777777777777,0.9887640449438202,90
00024,1.0,1.0,1.0,90
00025,0.9917355371900827,1.0,0.995850622406639,360
00026,1.0,0.9777777777777777,0.9887640449438202,90
00027,1.0,0.9916666666666667,0.99581589958159,120
00028,0.9888888888888889,0.9888888888888889,0.9888888888888889,90
00029,1.0,0.9666666666666667,0.9830508474576272,30
00030,1.0,0.9666666666666667,0.9830508474576272,150
00031,1.0,1.0,1.0,270
00032,1.0,1.0,1.0,30
00033,0.8529411764705882,0.9666666666666667,0.90625,90
00034,0.8837209302325582,0.8444444444444444,0.8636363636363636,90
00035,1.0,1.0,1.0,150
00036,0.7453416149068323,1.0,0.8540925266903915,120
00037,1.0,0.3333333333333333,0.5,60
00038,0.7047244094488189,0.9944444444444445,0.8248847926267281,360
00039,0.0,0.0,0.0,150
00040,1.0,0.8888888888888888,0.9411764705882353,90
00041,0.967741935483871,1.0,0.9836065573770492,30
00042,1.0,1.0,1.0,30
micro avg,0.9632315521628498,0.9632315521628498,0.9632315521628498,7860
macro avg,0.902497063700693,0.8967426803442715,0.8942112358498231,7860
weighted avg,0.9547493129743925,0.9632315521628498,0.9560734741848663,7860
